"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 13:25:46 GMT 2024","Thu Oct 10 13:25:56 GMT 2024","9805","chromium","DECIMAL_WEB/TC_AP_016.spec.ts","","","","TC_AP_016 Verify the Function Name search option is working for invaild inputs",""
"passed","Thu Oct 10 13:25:37 GMT 2024","Thu Oct 10 13:25:46 GMT 2024","8776","chromium","DECIMAL_WEB/TC_AP_015.spec.ts","","","","TC_AP_015 Verify the Function Name search option is working for vaild inputs",""
"passed","Thu Oct 10 13:24:30 GMT 2024","Thu Oct 10 13:24:38 GMT 2024","7921","chromium","DECIMAL_WEB/TC_AP_006.spec.ts","","","","TC_AP_006 Verify the ""Function"" sub-module redirection",""
"passed","Thu Oct 10 13:33:05 GMT 2024","Thu Oct 10 13:33:16 GMT 2024","11486","chromium","DECIMAL_WEB/TC_AP_027.spec.ts","","","","TC_AP_027 Verify the function view page",""
"passed","Thu Oct 10 13:26:05 GMT 2024","Thu Oct 10 13:26:14 GMT 2024","8906","chromium","DECIMAL_WEB/TC_AP_020.spec.ts","","","","TC_AP_020 Verify the combination search option is working for invaild inputs",""
"broken","Thu Oct 10 13:43:34 GMT 2024","Thu Oct 10 13:45:34 GMT 2024","120085","chromium","DECIMAL_WEB/TC_AP_030.spec.ts","","","","TC_AP_030 Verify the function page action column edit button is working.",""
"passed","Thu Oct 10 13:26:22 GMT 2024","Thu Oct 10 13:26:31 GMT 2024","8774","chromium","DECIMAL_WEB/TC_AP_022.spec.ts","","","","TC_AP_022 Verify the Function Search button option",""
"passed","Thu Oct 10 13:33:16 GMT 2024","Thu Oct 10 13:33:29 GMT 2024","13042","chromium","DECIMAL_WEB/TC_AP_028.spec.ts","","","","TC_AP_028 Verify the edit data is populated.",""
"passed","Thu Oct 10 13:25:28 GMT 2024","Thu Oct 10 13:25:37 GMT 2024","8971","chromium","DECIMAL_WEB/TC_AP_014.spec.ts","","","","TC_AP_014 Verify the Function Code search option is working for invaild inputs",""
"skipped","Thu Oct 10 13:48:57 GMT 2024","Thu Oct 10 13:48:57 GMT 2024","0","chromium","DECIMAL_WEB/TC_AP_035.spec.ts","","","","TC_AP_035 Verify the ""Function Role"" page details",""
"passed","Thu Oct 10 13:25:56 GMT 2024","Thu Oct 10 13:26:05 GMT 2024","8789","chromium","DECIMAL_WEB/TC_AP_019.spec.ts","","","","TC_AP_019 Verify the combination search option is working for vaild inputs",""
"broken","Thu Oct 10 13:37:31 GMT 2024","Thu Oct 10 13:39:31 GMT 2024","120081","chromium","DECIMAL_WEB/TC_AP_029.spec.ts","","","","TC_AP_029 Verify the function view page edit or delete",""
"broken","Thu Oct 10 13:30:52 GMT 2024","Thu Oct 10 13:32:52 GMT 2024","120076","chromium","DECIMAL_WEB/TC_AP_025.spec.ts","","","","TC_AP_025 Verify the function page action column delete button is working.",""
"passed","Thu Oct 10 13:24:07 GMT 2024","Thu Oct 10 13:24:15 GMT 2024","7631","chromium","DECIMAL_WEB/TC_AP_002.spec.ts","","","","TC_AP_002 Verify that ""Function"" module Page is working",""
"passed","Thu Oct 10 13:26:40 GMT 2024","Thu Oct 10 13:26:50 GMT 2024","9641","chromium","DECIMAL_WEB/TC_AP_024.spec.ts","","","","TC_AP_024 Verify the Function Status search option is Inactive",""
"broken","Thu Oct 10 13:45:35 GMT 2024","Thu Oct 10 13:47:35 GMT 2024","120087","chromium","DECIMAL_WEB/TC_AP_031.spec.ts","","","","TC_AP_031 Verify the function data saved for valid data",""
"passed","Thu Oct 10 13:24:54 GMT 2024","Thu Oct 10 13:25:03 GMT 2024","9856","chromium","DECIMAL_WEB/TC_AP_010.spec.ts","","","","TC_AP_010 Verify the ""Function"" page details",""
"passed","Thu Oct 10 13:24:46 GMT 2024","Thu Oct 10 13:24:54 GMT 2024","7924","chromium","DECIMAL_WEB/TC_AP_009.spec.ts","","","","TC_AP_009 Verify the ""Employee"" sub-module redirection",""
"passed","Thu Oct 10 13:23:58 GMT 2024","Thu Oct 10 13:24:06 GMT 2024","7722","chromium","DECIMAL_WEB/TC_AP_001.spec.ts","","","","TC_AP_001 Verify that ""Organization Management"" has sub-modules",""
"passed","Thu Oct 10 13:24:15 GMT 2024","Thu Oct 10 13:24:22 GMT 2024","7570","chromium","DECIMAL_WEB/TC_AP_003.spec.ts","","","","TC_AP_003 Verify that ""Function Role"" module Page is working",""
"passed","Thu Oct 10 13:32:53 GMT 2024","Thu Oct 10 13:33:05 GMT 2024","11501","chromium","DECIMAL_WEB/TC_AP_026.spec.ts","","","","TC_AP_026 Verify the function page action column view button is working.",""
"passed","Thu Oct 10 13:25:11 GMT 2024","Thu Oct 10 13:25:19 GMT 2024","8040","chromium","DECIMAL_WEB/TC_AP_012.spec.ts","","","","TC_AP_012 Verify the Function Filter & Search option",""
"passed","Thu Oct 10 13:24:22 GMT 2024","Thu Oct 10 13:24:30 GMT 2024","7570","chromium","DECIMAL_WEB/TC_AP_005.spec.ts","","","","TC_AP_005 Verify the ""Employee"" sub-module Page is working",""
"passed","Thu Oct 10 13:26:14 GMT 2024","Thu Oct 10 13:26:22 GMT 2024","8907","chromium","DECIMAL_WEB/TC_AP_021.spec.ts","","","","TC_AP_021 Verify the Function Clear filter button option",""
"passed","Thu Oct 10 13:24:38 GMT 2024","Thu Oct 10 13:24:46 GMT 2024","7937","chromium","DECIMAL_WEB/TC_AP_007.spec.ts","","","","TC_AP_007 Verify the ""Function Role"" sub-module redirection",""
"passed","Thu Oct 10 13:26:31 GMT 2024","Thu Oct 10 13:26:40 GMT 2024","9207","chromium","DECIMAL_WEB/TC_AP_023.spec.ts","","","","TC_AP_023 Verify the Function Status search option is Active",""
"skipped","Thu Oct 10 13:48:57 GMT 2024","Thu Oct 10 13:48:57 GMT 2024","0","chromium","DECIMAL_WEB/TC_AP_033.spec.ts","","","","TC_AP_033 Verify the delete function code data and re-use same",""
"skipped","Thu Oct 10 13:48:57 GMT 2024","Thu Oct 10 13:48:57 GMT 2024","0","chromium","DECIMAL_WEB/TC_AP_034.spec.ts","","","","TC_AP_034 Verify the user create data with existing function code",""
"passed","Thu Oct 10 13:25:19 GMT 2024","Thu Oct 10 13:25:28 GMT 2024","8787","chromium","DECIMAL_WEB/TC_AP_013.spec.ts","","","","TC_AP_013 Verify the Function Code search option is working for vaild inputs",""
"passed","Thu Oct 10 13:25:03 GMT 2024","Thu Oct 10 13:25:11 GMT 2024","7953","chromium","DECIMAL_WEB/TC_AP_011.spec.ts","","","","TC_AP_011 Verify the Function List option",""
"skipped","Thu Oct 10 13:48:57 GMT 2024","Thu Oct 10 13:48:57 GMT 2024","0","chromium","DECIMAL_WEB/TC_AP_036.spec.ts","","","","TC_AP_036 Verify the Function Role List option",""
